keyvalues_Version,ipfs_pin_hash,keyvalues_UnseenAccuracy,keyvalues_type,keyvalues_ntp_tw,keyvalues_scalerLabelEncoder,keyvalues_datasetTraining,keyvalues_model
V05,bafkreietfg5ryquh2mv4glepxayubx222lhx356leudxk5oacnffbxr5li,0.8952380952380953,BorrowPrediction,5-21,"{'ss': 'bafkreigbwposfcfasur3kf5om25xzj7nbb4i3b3nnuuh2dgyvggvyazf3y', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 458}"
V05,bafkreie7iiyd4uabhkb32yt66girzq4s25jkz2iluod3isyup3ftawj5pi,0.8952380952380953,BorrowPrediction,5-21,"{'ss': 'bafkreigbwposfcfasur3kf5om25xzj7nbb4i3b3nnuuh2dgyvggvyazf3y', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 400}"
V05,bafybeiblroiwlchjidakfzjbtbu3kwv4idekv4tjiymwksyfkrdsdcuqxy,0.8857142857142857,BorrowPrediction,5-21,"{'ss': 'bafkreigbwposfcfasur3kf5om25xzj7nbb4i3b3nnuuh2dgyvggvyazf3y', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 431}"
V05,bafybeieqwguciarg6e4gogsmktd3zu5dozosvtxcgig2tufw4ulwhfmxfy,0.8761904761904762,BorrowPrediction,5-21,"{'ss': 'bafkreigbwposfcfasur3kf5om25xzj7nbb4i3b3nnuuh2dgyvggvyazf3y', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 435}"
V05,bafybeigryxmxokl3c6bwc7pztfku5ndbk7mr3cjd7bdxjg4cq2duqxotii,0.8761904761904762,BorrowPrediction,5-21,"{'ss': 'bafkreigbwposfcfasur3kf5om25xzj7nbb4i3b3nnuuh2dgyvggvyazf3y', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 519}"
V05,bafybeibmispmu4rjqhy5ywvtgszjid6wmfqv7s32c2jvmlpsgmdfizq4qy,0.8761904761904762,BorrowPrediction,5-21,"{'ss': 'bafkreigbwposfcfasur3kf5om25xzj7nbb4i3b3nnuuh2dgyvggvyazf3y', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 485}"
V05,bafybeig7bke2y2h7cpm54elrokhs6udcsqsxnaiigym7gbwdurvllj3kte,0.8761904761904762,BorrowPrediction,5-21,"{'ss': 'bafkreigbwposfcfasur3kf5om25xzj7nbb4i3b3nnuuh2dgyvggvyazf3y', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 398}"
V05,bafybeiczraavuc2dvhfk6qn5bai3jxuresim2xxvv23akyuc57t7t5z6z4,0.8761904761904762,BorrowPrediction,5-21,"{'ss': 'bafkreigbwposfcfasur3kf5om25xzj7nbb4i3b3nnuuh2dgyvggvyazf3y', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 418}"
V05,bafybeieby7hfm5zjgujt4ulzo75dd4ib2r4o5a7qlgws2wpby4fbvvb2ke,0.8761904761904762,BorrowPrediction,5-21,"{'ss': 'bafkreigbwposfcfasur3kf5om25xzj7nbb4i3b3nnuuh2dgyvggvyazf3y', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 408}"
V05,bafybeiame6fu4vhwqcxqhjptvlferhqmronevxodzuzy5yels5ndbkhsqi,0.8666666666666667,BorrowPrediction,5-21,"{'ss': 'bafkreihzhoblb2t5nfcdjni6gzpizhrqqhb7kvvtrj73lcmdapx3kcr7bu', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': True, 'filter_cols': None, 'smote': False}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 477}"
