Date,DAI_borrowRate,ETH_borrowRate,USDC_borrowRate,USDT_borrowRate,DAI_cash,ETH_cash,USDC_cash,USDT_cash,DAI_collateralFactor,ETH_collateralFactor,USDC_collateralFactor,USDT_collateralFactor,DAI_reserves,ETH_reserves,USDC_reserves,USDT_reserves,DAI_supplyRate,ETH_supplyRate,USDC_supplyRate,USDT_supplyRate,DAI_totalBorrows,ETH_totalBorrows,USDC_totalBorrows,USDT_totalBorrows,DAI_totalSupply,ETH_totalSupply,USDC_totalSupply,USDT_totalSupply,DAI_reserveFactor,ETH_reserveFactor,USDC_reserveFactor,USDT_reserveFactor
2022-05-11,0.031534612951411196,0.0247444228844748,0.0179316936908292,0.0244037711705052,392651193.54966134,787832.3353158686,934503759.4326068,393656699.28585076,0.8000000000000002,0.8249999999999998,0.8000000000000002,0.0,20797519.95390839,688.9961974592356,13207103.90336798,2993781.6294527706,0.016908027752894402,0.001016361809814,0.006049774927336799,0.0110222743178916,634779199.6138024,38875.36459880225,514253530.3172739,372427172.53795743,45769687398.15978,41171633.22329084,63518672985.47846,34955463759.90777,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-05-12,0.0317287668687156,0.0280685959007424,0.0155873652456738,0.024247759259384997,358013830.21542794,751472.0206658319,933798346.1859022,365863210.606081,0.8000000000000002,0.8249999999999998,0.8000000000000002,0.0,20806755.800191548,689.9889492681012,13208724.95231227,2995804.711156813,0.0171344387580522,0.0018171387990534,0.0045057327805902,0.010882894580858999,588109242.8216488,65893.95110484195,415461586.5283799,342146583.6087766,42070241816.14896,40705760.44293691,59115328313.27604,32294053684.233715,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-05-13,0.0303647209907304,0.0285805360819044,0.0159928574073318,0.026471384577507598,347489691.16217154,747031.9990575571,894512172.4201216,319786564.53994066,0.8000000000000002,0.8249999999999998,0.8000000000000002,0.0,20814168.202830765,691.1036196787787,13210197.209413521,2997694.309717854,0.0156746930326158,0.0019647436585014002,0.0047346379569066,0.0130004959862052,505150088.77817935,70113.26890678662,414152308.4056332,356188239.0127894,37817743374.84908,40694482.59825071,57318237465.84049,30825502784.032482,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-05-14,0.0299019808315458,0.0289367226546498,0.0167799534237786,0.029402477420535002,357468630.2987978,742954.9854527785,804875940.0107714,260126528.6744801,0.8000000000000002,0.8249999999999998,0.8000000000000002,0.0,20820958.026593145,692.3555789215264,13211676.258140417,2999948.8851755206,0.015200318320778401,0.0020711757721668003,0.0052161732781494,0.0160586759762094,500856170.80841035,72914.42724891427,398923669.95290834,363256899.9793295,38074156306.28001,40630578.49393953,52677607066.76055,28415280550.145557,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-05-15,0.0300090763668168,0.0286582813442226,0.0173811056747592,0.031177654707813002,353289701.06497854,740725.9920994518,756673576.6683172,221620503.6180551,0.8000000000000002,0.8249999999999998,0.8000000000000002,0.0,20827716.856533308,693.5831267452719,13213206.134883644,3002448.8205756247,0.0153093029309088,0.001986751984311,0.0055900788498438,0.0179834010745104,499067154.0877285,70213.29257194429,396127692.18842036,362113492.46984744,37800807761.99384,40384542.70014807,50420280253.87553,26597699991.13489,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-05-16,0.0300367662301248,0.0282383770015782,0.017967582545823,0.031491941185405804,345918211.2496248,741248.2404332501,741387157.6107472,216962070.80504164,0.8000000000000002,0.8249999999999998,0.8000000000000002,0.0,20834396.05143263,694.7691562100384,13214794.204087814,3005013.4986917083,0.0153375279304404,0.0018644569697112,0.0059739766598592,0.0183473305950498,489123953.26548624,66558.52799721847,408501101.058151,364049671.3389036,37011685711.268166,40228115.81715236,50290457458.17975,26471457211.338627,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-05-17,0.0290964803532018,0.0271394827086258,0.0191098344576804,0.03176889229347,372079345.57798463,748256.7752293545,702278628.4232581,212247256.31800672,0.8000000000000002,0.8249999999999998,0.8000000000000002,0.0,20840879.85351576,695.7734113437242,13216537.395795874,3007582.1311075,0.0143933863947054,0.0015514348327734,0.0067575703360632,0.018671987640384,488816692.74586064,57528.918550192524,426110843.2670894,364582477.2857213,38184937587.83201,40127131.04755367,49338264825.45956,26278369580.845898,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-05-18,0.029171365684051802,0.027136947905565003,0.0196718178929448,0.032294933624022,369964331.84871644,749638.401432738,669575284.0895859,203331933.3088542,0.8000000000000002,0.8249999999999998,0.8000000000000002,0.0,20847292.68321195,696.707954758147,13218398.563628688,3010217.244161688,0.014466519342480602,0.0015507383274072,0.0071592514672986,0.0192950291470056,488948432.06271607,57613.10496870621,425726396.1172282,365386735.79236126,38092849094.55825,40199956.58250318,47873282174.48801,25905321492.38309,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-05-19,0.027616131474021,0.027141166423024197,0.0199834651020678,0.0325632192898038,374930396.28745484,750734.6471463089,680060674.4290015,199642885.76353243,0.8000000000000002,0.8249999999999998,0.8000000000000002,0.0,20853058.614275906,697.6264090686259,13220291.78328902,3012765.0205627712,0.0129661498179756,0.0015518958926849999,0.0073881548411136,0.019617122693928,436906560.8321671,57734.0869590017,443928993.7421176,367206311.2563531,35951397210.96491,40260396.17022473,49141356231.3277,25818157763.861465,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-05-20,0.027619035074220602,0.027143186532504,0.0197756710820574,0.032479070643912,373080159.5723524,751153.2861220645,689236182.8500329,201033721.7433143,0.8000000000000002,0.8249999999999998,0.8000000000000002,0.0,20858338.787099067,698.5382296774472,13222208.722875938,3015405.594750188,0.0129688604626626,0.0015524517688656001,0.0072350606303766,0.019515546696249,434578244.15438557,57783.87534293834,442304291.15914893,367069188.7120226,35759884140.79618,40283515.958269134,49474278132.82608,25873951123.612904,1.5e+17,2e+17,7.5e+16,7.5e+16
